"","Parameter","Value"
"1248","Phycocyanin",0.1
"1249","Chlorophyll",1.24
"1250","Chlorophyll",1.07
"1251","Chlorophyll",0.95
"1252","Chlorophyll",1.49
"1253","Phycocyanin",2.5
"1254","Phycocyanin",0.1
"1255","Chlorophyll",1.34
"1256","Chlorophyll",1.39
"1257","Phycocyanin",1
"1258","Chlorophyll",1.12
"1259","Phycocyanin",0.1
"1260","Phycocyanin",0.55
"1261","Chlorophyll",1.29
"1262","Phycocyanin",0.55
"1263","Chlorophyll",1.12
"1264","Chlorophyll",1.19
"1265","Phycocyanin",0.55
"1266","Chlorophyll",1.07
"1267","Chlorophyll",1.19
"1268","Chlorophyll",1.69
"1269","Phycocyanin",0.1
"1270","Phycocyanin",0.1
"1271","Chlorophyll",1.42
"1272","Phycocyanin",2
"1273","Chlorophyll",1.17
"1274","Phycocyanin",2.5
"1275","Chlorophyll",0.95
"1276","Chlorophyll",1.49
"1277","Phycocyanin",0.1
"1278","Phycocyanin",0.1
"1279","Chlorophyll",1.29
"1280","Phycocyanin",0.1
"1281","Phycocyanin",0.1
"1282","Chlorophyll",1.09
"1283","Phycocyanin",0.1
"1284","Chlorophyll",0.95
"1285","Phycocyanin",0.1
"1286","Chlorophyll",0.65
"1287","Phycocyanin",3
"1288","Chlorophyll",1.31
"1289","Phycocyanin",0.1
"1290","Chlorophyll",0.77
"1291","Phycocyanin",4
"1292","Chlorophyll",0.72
"1293","Phycocyanin",0.1
"1294","Phycocyanin",5.5
"1295","Phycocyanin",0.55
"1296","Chlorophyll",0.9
"1297","Chlorophyll",1.12
"1298","Chlorophyll",1.07
"1299","Phycocyanin",4
"1300","Chlorophyll",1.22
"1301","Chlorophyll",1.66
"1302","Phycocyanin",0.55
"1303","Phycocyanin",0.1
"1304","Phycocyanin",0.1
"1305","Chlorophyll",1.14
"1306","Chlorophyll",1.51
"1307","Phycocyanin",1
"1308","Chlorophyll",1.29
"1309","Chlorophyll",1.22
"1310","Phycocyanin",4.5
"1311","Phycocyanin",7
"1313","Chlorophyll",0.37
"1314","Phycocyanin",35
"1316","Chlorophyll",1.1
"1319","Phycocyanin",31
